population,householdsize,agePct12t29,agePct65up,medFamInc,PctPopUnderPov,MedRentPctHousInc,TotalPctDiv,PctLargHouseFam,pctUrban,PctHousOccup,ViolentCrimesPerPop
13842,2.35,18.3,13.57,53342,3.33,187,12.8,2.69,100.0,94.85,0.0
88693,2.7,30.92,9.65,32096,12.92,153,16.22,5.26,100.0,95.47,0.0
11235,2.6,25.62,13.36,28495,15.28,148,12.15,5.93,0.0,93.07,0.0
28259,2.86,28.79,9.53,27523,22.94,163,14.22,7.83,100.0,94.04,0.0
11162,2.8,26.03,12.78,19434,38.27,112,11.08,9.0,0.0,90.68,0.0
122899,3.84,33.12,7.32,19910,37.29,178,8.73,21.34,100.0,94.21,4.26
20714,2.36,23.13,21.15,29893,13.5,131,10.7,4.07,0.0,92.49,0.0
11856,3.03,31.45,8.63,40809,4.05,201,9.06,3.62,33.1,96.69,0.0
19050,2.67,26.48,8.64,41095,8.87,149,11.89,5.33,0.0,88.47,0.0
11961,2.71,26.84,12.98,30357,12.63,182,14.31,5.56,0.0,95.98,0.0
15655,2.6,26.09,15.02,21753,24.07,133,14.13,6.31,0.0,93.34,0.0
23302,4.17,30.74,4.44,52659,5.34,385,9.94,10.56,100.0,96.66,0.0
45226,2.95,28.12,10.96,23068,31.96,163,13.52,11.3,0.0,92.91,0.0
26167,2.37,19.36,14.25,63337,2.73,361,11.26,2.14,100.0,97.41,0.0
84474,2.76,29.95,11.57,27832,18.5,150,12.12,5.71,100.0,88.57,11.61
27623,2.49,25.31,15.24,26443,16.93,133,12.63,3.99,100.0,94.47,0.0
71166,2.87,32.21,7.82,25834,26.67,191,17.89,9.52,100.0,93.17,10.69
52141,2.82,25.39,11.94,31379,17.28,198,11.0,6.44,74.94,92.53,0.0
16162,2.36,22.94,17.94,29604,15.61,134,13.39,4.18,0.0,93.56,0.0
66473,2.66,23.58,15.97,44680,3.74,216,7.69,4.06,100.0,86.55,0.0
23170,2.09,20.23,12.36,70219,6.14,349,16.9,2.54,100.0,86.31,0.0
12849,3.59,30.03,10.44,18788,37.04,138,10.59,18.52,0.0,86.6,0.0
63891,2.64,30.39,9.04,35161,7.07,104,11.33,4.93,100.0,96.46,0.0
15440,2.86,27.4,8.39,41312,5.0,110,9.66,4.2,0.0,97.4,0.0
18540,2.49,25.52,15.18,24252,18.82,121,12.75,2.28,0.0,94.03,0.0
31971,2.2,22.12,17.88,83272,6.6,341,12.23,4.05,100.0,92.63,4.76
14790,2.87,30.27,14.02,51327,2.9,175,6.2,3.36,100.0,97.45,0.0
34075,2.59,26.63,11.68,27049,16.85,99,14.6,4.6,0.0,92.53,0.0
332943,2.54,28.65,12.25,30980,19.09,155,13.62,5.59,100.0,92.09,4.39
1585577,2.63,28.02,13.74,30140,20.27,231,12.53,8.48,100.0,89.36,4.19
82585,2.8,28.52,12.95,70071,4.33,423,6.41,4.02,100.0,96.58,0.0
29721,2.34,18.8,22.59,37695,6.72,241,10.31,2.01,100.0,89.52,0.0
66049,2.63,29.84,14.33,30141,16.45,174,11.25,3.95,100.0,92.33,5.8
21847,2.92,30.86,7.45,42144,9.48,121,9.11,3.92,100.0,94.61,0.0
26184,2.49,26.78,17.55,25523,19.89,173,12.75,5.24,100.0,91.36,0.0
101484,2.83,28.92,4.73,40198,7.73,149,13.21,4.66,100.0,91.35,5.62
24656,2.7,26.55,9.97,41144,4.89,235,12.71,4.83,100.0,96.58,0.0
12727,2.49,25.43,14.93,30546,11.12,143,10.14,3.44,100.0,95.58,0.0
33626,2.88,23.52,8.14,52531,3.51,196,5.81,3.26,100.0,96.25,0.0
22430,2.67,32.9,12.62,38391,8.06,249,10.46,2.93,0.0,94.91,0.0
13352,2.82,21.82,14.84,36199,8.79,164,8.48,3.26,73.6,97.29,0.0
10637,2.16,23.83,18.45,26537,12.53,130,11.16,3.26,100.0,93.22,0.0
165121,2.36,32.25,13.77,26131,20.8,156,14.23,3.15,100.0,91.52,10.26
10836,2.28,32.02,9.09,32919,8.46,117,15.37,1.49,0.0,93.81,0.0
86335,2.5,26.55,9.12,48608,3.7,182,9.4,2.84,100.0,96.29,0.0
21160,2.79,23.62,12.65,64920,1.49,195,6.47,3.96,100.0,97.46,0.0
29208,2.6,23.38,15.64,50916,1.79,217,8.57,3.04,100.0,96.67,0.0
12839,2.46,25.65,16.85,26654,18.27,108,11.36,3.78,0.0,89.41,0.0
75058,3.86,28.26,3.14,45611,4.21,245,6.38,20.44,100.0,96.58,0.0
51464,2.9,26.56,8.11,60709,5.12,218,7.31,4.34,100.0,95.38,0.0
22608,2.91,26.88,6.34,46578,4.36,169,10.75,4.46,82.94,94.06,0.0
14988,2.49,25.38,16.31,22964,23.15,124,13.15,3.68,0.0,85.28,0.0
405390,2.49,31.47,11.34,27208,20.16,146,14.15,6.32,99.98,88.74,4.03
23330,2.94,34.05,6.76,45986,4.35,127,9.3,4.35,64.02,89.49,0.0
11967,2.62,25.11,14.7,23440,23.02,134,10.51,6.79,0.0,86.35,0.0
25925,2.51,31.18,10.56,34344,6.68,233,12.53,2.87,100.0,90.85,0.0
10466,2.76,27.85,9.99,42734,8.02,333,12.32,7.07,100.0,72.07,0.0
17118,2.29,23.8,16.44,42345,4.13,188,7.8,1.83,100.0,95.86,0.0
17668,2.52,38.26,4.7,45597,9.33,124,11.31,3.71,70.5,90.07,0.0
35748,2.86,26.78,6.32,46108,3.78,204,11.2,4.24,100.0,93.64,0.0
11290,2.46,22.35,19.43,29171,14.35,134,10.57,3.16,0.0,91.41,0.0
11439,2.7,21.33,12.28,70618,2.45,352,5.8,3.2,100.0,98.06,0.0
40949,2.47,21.74,18.13,40299,6.78,270,10.93,3.41,83.39,71.04,0.0
17790,2.66,26.56,14.38,55878,3.68,243,7.38,5.08,100.0,92.58,0.0
437319,2.34,25.57,12.83,32424,14.53,149,16.07,5.0,100.0,94.4,4.81
27957,2.95,31.92,4.39,51045,3.79,171,11.0,6.1,100.0,92.66,0.0
133107,2.53,25.37,10.78,55678,5.15,325,11.64,4.13,100.0,95.79,4.12
12220,4.32,28.04,3.71,45205,3.21,287,4.1,31.58,100.0,98.06,0.0
66072,2.59,27.2,10.46,49851,8.3,325,13.43,7.25,100.0,94.96,0.0
13187,2.47,23.25,18.77,42245,6.27,132,9.55,2.85,97.79,96.4,0.0
11663,3.01,23.99,4.82,55955,1.65,182,6.16,3.95,100.0,97.48,0.0
10205,2.46,18.03,23.89,29464,6.77,114,9.08,2.39,0.0,89.87,0.0
49425,2.67,38.87,7.87,32417,14.48,157,8.28,3.6,100.0,94.6,0.0
130474,2.66,34.55,10.81,31163,21.29,262,12.44,7.07,100.0,90.62,3.08
11218,2.66,27.88,11.26,20562,23.81,134,14.97,6.0,100.0,89.89,0.0
23930,2.87,24.66,12.41,39916,4.93,130,11.36,5.94,100.0,97.01,0.0
19949,2.76,20.71,15.13,52340,1.27,116,5.14,3.78,100.0,97.74,0.0
10542,2.67,29.26,16.07,25025,25.22,140,10.44,6.23,0.0,93.05,0.0
34989,2.57,24.82,13.45,34987,6.07,142,8.45,3.62,100.0,97.39,0.0
60394,2.75,27.56,10.33,43200,8.98,206,12.03,6.32,100.0,94.81,0.0
16169,3.29,30.79,6.51,26520,28.22,194,12.74,13.74,0.0,88.13,0.0
14548,2.7,24.93,5.29,36533,8.43,209,14.83,4.74,0.0,93.37,0.0
55006,2.62,34.4,12.2,31773,12.63,137,9.2,3.38,100.0,96.01,0.0
11874,2.11,30.87,8.16,33460,9.33,138,19.11,3.52,100.0,94.42,0.0
23229,3.42,31.36,3.15,55924,4.23,229,13.69,5.32,100.0,97.28,0.0
32873,2.69,27.95,8.62,58187,3.55,268,10.85,5.72,100.0,96.65,0.0
15351,2.45,28.11,11.49,38190,9.28,143,12.39,3.02,100.0,92.13,0.0
124773,2.47,42.67,7.94,34764,22.32,184,11.51,3.55,100.0,91.35,6.6
12016,3.68,53.13,9.15,60927,9.64,425,5.92,3.75,0.0,92.91,0.0
13547,3.13,52.12,9.81,31331,28.82,154,5.29,3.8,0.0,95.24,0.0
10130,2.56,26.4,14.14,30382,11.86,119,13.78,3.99,0.0,95.35,0.0
13002,2.47,27.67,6.1,49356,3.73,119,12.84,2.05,98.55,89.43,0.0
17825,2.82,24.91,7.36,52590,2.43,307,8.64,3.94,44.04,88.97,0.0
23006,2.79,45.62,11.04,30450,21.61,144,6.76,4.06,0.0,95.57,0.0
39802,2.8,26.89,9.84,36935,9.59,164,13.1,6.49,0.0,95.82,0.0
31287,2.71,29.96,8.64,57156,2.67,249,8.91,3.43,100.0,94.82,0.0
70487,2.59,28.26,13.59,26838,20.87,136,14.39,4.94,100.0,92.17,5.94
35710,2.3,26.37,15.75,39977,5.55,127,10.51,2.81,100.0,96.63,0.0
22911,2.67,27.12,15.63,26059,21.04,170,12.16,6.05,0.0,89.05,0.0
12127,2.58,25.76,13.9,29813,11.79,91,12.13,3.79,0.0,95.06,0.0
22191,2.58,29.7,12.58,32801,12.69,140,11.46,3.4,0.0,95.39,0.0
3485398,2.86,31.22,8.96,34364,18.86,296,12.26,14.44,100.0,93.65,4.89
13425,2.76,28.54,12.48,37304,11.55,215,8.63,6.27,100.0,94.88,0.0
15411,2.93,25.59,12.51,43162,4.92,253,6.44,5.03,65.76,96.0,0.0
27134,2.47,26.47,15.12,26552,17.1,134,12.05,3.17,100.0,94.15,0.0
22902,2.72,26.44,12.96,35364,15.39,168,11.28,4.91,0.0,95.36,0.0
18749,2.9,27.09,8.64,38189,4.1,131,10.18,5.27,69.9,97.03,0.0
38901,3.66,40.78,5.07,30218,12.22,223,10.62,10.2,100.0,94.69,0.0
29202,2.66,26.09,3.93,54669,4.24,216,12.29,2.89,99.89,92.12,0.0
69101,2.67,45.3,7.48,34598,22.42,144,8.97,3.23,100.0,93.79,0.0
10950,2.53,24.58,16.48,24605,18.76,130,13.43,4.85,0.0,95.13,0.0
18041,2.95,49.7,8.79,39351,17.07,193,9.33,5.59,100.0,94.63,0.0
13800,2.54,29.41,9.56,42844,5.14,155,10.45,3.57,100.0,89.32,0.0
33862,2.34,23.71,17.41,26550,18.99,120,13.17,3.04,100.0,88.51,0.0
177196,2.36,26.71,14.25,28778,17.34,139,15.82,4.16,100.0,94.08,6.67
12430,2.7,37.9,10.54,32654,18.78,188,10.88,3.73,0.0,93.47,0.0
16565,2.38,24.76,14.92,28750,18.3,124,15.23,4.43,0.0,91.84,0.0
41943,3.29,33.31,9.5,24190,20.71,212,10.37,6.29,100.0,93.31,0.0
16230,3.05,25.48,10.38,41349,5.55,256,7.39,4.58,1.86,92.38,0.0
109592,2.63,43.75,6.29,50192,16.08,231,8.09,3.19,100.0,94.65,5.88
29603,2.75,29.21,5.1,48156,3.79,191,10.46,3.69,0.0,90.72,0.0
13024,2.25,20.98,19.56,26628,20.64,192,16.77,4.68,100.0,75.26,0.0
12233,2.44,23.9,16.38,29733,13.85,109,11.74,3.68,0.0,94.51,0.0
15128,2.71,23.6,10.77,52077,2.32,188,6.88,3.19,100.0,97.04,0.0
58012,2.81,29.54,9.09,27288,18.18,240,14.53,8.4,100.0,91.24,4.97
28176,2.51,26.23,6.49,66991,2.95,217,11.7,3.69,100.0,95.43,0.0
140761,2.61,29.26,9.58,25083,30.58,115,17.92,6.9,100.0,91.78,14.47
41711,3.28,49.87,8.48,32966,21.96,316,8.74,10.59,100.0,93.77,4.84
30495,2.86,26.81,10.83,23708,26.41,145,11.92,8.02,100.0,92.87,0.0
23451,3.37,33.41,5.26,31319,17.55,212,14.87,22.89,100.0,94.59,0.0
16392,3.11,22.02,5.52,74736,1.39,494,4.82,3.35,100.0,95.68,0.0
30159,2.85,27.49,4.23,48162,4.92,212,10.54,4.27,99.49,93.01,0.0
31828,2.86,27.77,11.31,21610,28.67,141,12.05,8.76,0.0,89.67,0.0
15080,2.93,25.04,11.65,46833,3.15,113,7.02,5.2,100.0,97.89,0.0
12649,2.75,26.67,14.13,35419,9.18,133,12.07,7.7,100.0,93.25,0.0
30533,2.63,22.15,14.78,41173,2.95,121,5.69,3.06,100.0,98.13,0.0
18828,2.83,28.34,7.71,36222,5.38,123,11.17,4.39,100.0,95.39,0.0
12697,2.99,28.07,6.4,32658,8.41,139,10.01,4.87,47.15,97.03,0.0
41856,2.88,29.11,12.58,24893,25.16,225,14.44,10.09,100.0,88.04,0.0
10513,2.44,26.55,15.25,27195,17.18,141,11.41,3.15,0.0,93.4,0.0
280015,2.44,27.51,13.15,27662,19.44,180,16.66,5.15,100.0,88.52,4.98
1006877,2.5,31.03,8.72,31925,17.97,162,15.58,9.13,100.0,86.35,3.42
15180,2.9,37.19,14.14,27372,17.5,122,8.35,2.15,0.0,94.04,0.0
52179,2.46,35.4,12.01,33705,16.68,171,11.97,3.3,100.0,95.82,0.0
21951,2.49,19.57,20.05,28293,12.8,171,15.61,3.48,0.0,65.59,0.0
38793,2.4,24.22,11.95,50411,6.68,366,14.22,5.11,100.0,95.41,0.0
13086,2.88,29.02,11.41,30683,10.71,135,11.49,5.38,0.0,97.2,0.0
78380,2.5,28.24,15.0,27277,19.41,157,14.07,6.74,100.0,91.62,6.33
20027,2.89,46.46,9.8,27707,30.26,141,7.37,5.44,0.0,90.4,0.0
87425,2.67,26.57,10.49,36657,16.1,274,16.07,8.56,100.0,94.84,16.2
39990,2.73,24.89,14.98,44901,7.2,287,7.94,5.35,95.02,94.86,0.0
51206,2.67,25.49,12.5,41653,3.29,136,9.17,3.64,100.0,96.87,0.0
12287,2.77,28.99,5.31,33274,7.44,118,9.98,3.47,100.0,96.85,0.0
12822,3.2,28.0,12.89,17147,43.13,173,10.6,14.54,0.0,92.7,0.0
23755,2.72,27.15,13.84,20385,35.71,137,13.35,8.5,0.0,91.37,0.0
11475,2.8,23.21,12.88,37299,5.4,146,7.42,4.25,100.0,97.32,0.0
28653,3.45,29.66,13.32,19304,37.33,172,7.43,16.61,100.0,78.02,0.0
14771,2.76,22.94,15.89,34292,7.99,190,10.19,5.57,0.0,76.7,0.0
30270,2.56,25.55,9.28,57347,1.99,138,9.21,3.31,93.19,93.9,0.0
60536,2.67,34.21,9.64,30705,19.46,159,11.09,5.0,99.71,94.4,0.0
96357,2.57,33.06,7.44,45266,9.17,270,15.0,8.6,100.0,94.59,6.38
11676,2.84,30.28,8.7,47353,4.38,250,13.42,5.56,100.0,96.12,0.0
16390,3.17,33.08,11.56,78338,3.03,317,6.55,6.46,100.0,94.35,0.0
12363,2.57,26.6,14.06,22114,20.41,132,16.23,4.93,0.0,95.06,0.0
10433,2.51,24.63,13.56,40134,4.59,166,10.8,2.37,0.0,96.68,0.0
19027,2.55,38.98,12.07,33353,12.29,160,12.93,4.3,100.0,92.4,0.0
12724,3.11,21.16,4.11,80541,1.25,363,5.15,3.93,100.0,95.01,0.0
47564,3.04,29.12,7.12,41512,10.79,266,12.46,10.13,100.0,93.62,0.0
72820,2.89,24.75,7.47,64690,1.96,282,8.93,4.61,100.0,95.38,0.0
429433,2.7,31.13,9.56,36305,16.82,259,13.78,11.98,100.0,93.3,4.2
85493,2.47,28.36,14.85,31431,16.57,187,10.8,3.17,100.0,95.95,5.6
14669,2.41,24.32,17.75,25315,19.27,140,14.2,4.41,0.0,93.93,0.0
76095,3.18,30.69,5.3,46618,8.31,196,9.9,10.4,100.0,90.13,0.0
38195,2.58,25.9,13.23,48040,6.62,341,9.33,3.17,100.0,94.53,0.0
79443,2.94,27.43,6.39,49856,5.16,181,9.68,4.02,100.0,90.7,6.54
12996,2.9,24.15,9.03,53253,2.05,366,6.47,4.21,79.22,97.2,0.0
24093,2.74,27.24,9.47,35113,13.77,92,12.9,4.38,84.64,95.25,0.0
38961,2.66,27.46,9.68,48112,4.77,282,11.65,6.14,100.0,96.46,0.0
39806,2.81,33.9,9.72,27231,23.83,177,12.97,6.44,0.0,90.61,0.0
444719,2.49,27.17,10.67,31587,15.86,145,15.53,4.94,98.74,84.13,3.48
10886,2.88,27.52,9.28,28653,20.44,147,11.21,8.13,0.0,87.59,0.0
19788,3.11,27.12,11.2,21345,28.5,151,10.33,10.15,0.0,88.51,0.0
10362,2.4,26.13,15.01,24650,16.91,142,11.07,3.78,0.0,90.11,0.0
26540,3.62,45.2,11.86,58074,4.07,420,9.8,3.17,100.0,80.12,0.0
38142,2.59,35.51,11.78,26423,18.1,147,14.75,4.66,99.52,93.79,0.0
54523,2.58,28.86,10.26,31056,13.65,193,11.54,4.6,100.0,93.88,0.0
15392,3.2,29.17,5.24,56959,5.89,209,8.12,6.93,100.0,97.57,0.0
37093,2.78,21.93,11.83,67412,1.71,408,6.45,3.76,100.0,96.98,0.0
12743,3.41,29.5,10.45,24974,22.58,153,8.21,15.54,0.0,97.31,0.0
16444,2.57,28.13,9.02,41982,6.67,121,11.42,2.48,100.0,93.52,0.0
20469,2.4,27.04,11.76,30776,13.15,154,15.17,3.1,0.0,94.69,0.0
17199,2.71,20.83,10.59,80572,1.52,625,7.89,2.65,90.8,95.3,0.0
46080,2.68,29.57,9.91,31089,15.34,123,11.55,8.44,100.0,91.55,0.0
11804,2.28,18.64,23.42,20998,22.15,143,17.75,4.53,0.0,70.8,0.0
40775,2.58,27.52,13.11,25387,20.32,140,16.27,5.07,100.0,86.63,0.0
17648,2.65,27.61,12.53,30516,14.66,130,13.26,5.84,0.0,94.99,0.0
37819,2.57,27.49,10.54,49387,9.26,167,8.53,3.03,0.0,95.9,0.0
18827,2.59,24.41,16.39,20873,30.18,147,13.13,8.25,0.0,86.71,0.0
67153,2.67,26.3,13.13,41120,11.8,272,11.96,8.48,100.0,95.97,0.0
30601,2.41,22.59,16.17,37794,4.78,133,11.53,2.46,100.0,96.07,0.0
16609,3.11,37.21,11.51,16407,39.79,157,11.04,8.31,0.0,87.59,0.0
10453,2.62,27.69,11.22,31528,8.65,115,13.33,2.96,0.0,96.87,0.0
24699,2.52,25.52,17.32,23486,25.43,150,13.34,4.31,0.0,87.62,0.0
17084,2.5,24.39,15.73,49551,3.42,232,7.51,3.51,100.0,96.82,0.0
30544,2.84,26.4,5.88,50913,3.98,174,10.56,3.71,100.0,92.31,0.0
15333,2.74,27.52,8.57,40271,3.13,128,9.73,3.88,0.0,98.02,0.0
32188,2.81,27.21,7.58,41985,4.49,145,10.34,2.95,100.0,91.73,0.0
46194,2.28,20.12,27.21,34186,9.59,198,10.86,5.0,100.0,79.44,0.0
15616,2.83,23.03,7.24,66461,2.31,375,7.12,3.73,0.0,94.03,0.0
15116,2.45,26.82,14.42,34413,8.7,178,12.44,4.05,0.0,94.6,0.0
10486,2.69,24.67,8.38,51424,7.64,260,9.47,3.39,100.0,89.29,0.0
41036,2.54,26.21,14.76,23245,27.76,171,14.29,6.2,0.0,91.15,0.0
14044,2.17,19.79,28.94,22576,14.61,79,13.98,2.2,100.0,82.78,0.0
15254,2.6,25.2,16.15,44456,3.65,203,10.35,1.81,93.23,95.8,0.0
36291,3.29,27.52,6.63,48756,4.47,218,9.98,10.09,100.0,98.29,0.0
12454,2.51,27.03,12.44,50134,5.1,241,8.07,5.87,100.0,96.9,0.0
10764,2.62,24.58,11.06,34723,11.94,139,13.0,3.24,67.6,95.55,0.0
19821,2.87,23.41,11.26,66386,2.64,446,6.27,4.69,95.18,96.56,0.0
23146,2.53,23.9,16.62,24357,24.83,140,12.73,5.22,0.0,89.18,0.0
16121,2.54,28.02,12.16,35436,9.67,207,11.7,2.63,100.0,95.95,0.0
26454,2.94,30.82,9.71,25894,26.23,194,13.73,12.2,100.0,90.13,0.0
17625,2.58,21.26,17.48,37683,7.56,154,7.62,2.46,0.0,96.72,0.0
36701,2.55,23.9,17.89,42634,5.63,226,9.33,4.9,100.0,96.33,9.68
80277,2.73,39.91,9.28,29869,26.23,174,12.06,5.65,100.0,93.4,8.33
16925,2.68,28.34,10.24,29470,11.95,99,15.97,4.91,100.0,90.16,0.0
14852,2.8,23.72,9.57,64560,3.1,341,8.51,5.01,100.0,97.0,0.0
28870,2.81,21.73,11.98,77022,1.79,415,5.66,3.59,100.0,97.18,0.0
10946,2.84,25.7,8.32,49307,3.64,236,11.52,5.9,100.0,95.02,0.0
83995,3.53,29.52,7.57,47387,6.95,343,10.68,18.36,100.0,97.41,0.0
37319,2.12,11.33,48.23,27576,4.57,320,4.41,2.1,88.74,88.63,0.0
31258,2.62,26.05,16.0,28982,13.8,151,11.37,4.86,0.0,94.12,0.0
11796,2.81,27.54,6.82,39963,4.18,159,9.8,3.06,100.0,92.23,0.0
47217,2.64,26.77,8.46,41768,7.77,209,13.64,3.49,100.0,90.03,0.0
18666,2.43,24.46,15.81,35356,11.93,191,13.48,3.01,0.0,95.22,0.0
22124,2.42,21.54,18.22,34117,9.48,109,9.32,2.3,100.0,94.77,0.0
14192,2.39,24.44,16.08,27227,17.55,133,14.15,2.89,0.0,93.55,0.0
10444,3.02,29.33,5.97,38146,5.82,108,9.45,5.63,100.0,93.95,0.0
19382,2.46,27.17,10.09,42284,10.68,273,15.92,5.13,100.0,95.35,0.0
49938,2.65,24.75,12.78,50204,3.72,311,9.4,4.03,100.0,93.56,5.66
44962,2.41,26.91,12.11,32084,16.45,131,15.55,3.5,100.0,91.76,8.0
14096,2.39,25.72,16.01,23957,21.01,131,14.84,4.15,100.0,89.53,0.0
15134,2.53,24.28,14.34,35186,9.53,178,8.87,3.32,0.0,96.71,0.0
60167,2.25,29.76,6.69,58760,5.59,308,15.62,3.22,100.0,94.67,0.0
14903,2.35,22.27,21.61,24225,19.62,151,14.22,4.2,0.0,86.65,0.0
20463,2.67,26.11,11.81,32943,10.4,162,11.25,4.32,0.0,91.94,0.0
15026,2.53,27.96,14.53,26986,17.68,115,12.36,3.07,0.0,91.58,0.0
30576,2.45,21.09,9.99,60949,3.69,242,11.85,2.33,100.0,95.25,0.0
133850,2.34,28.35,10.86,36200,11.52,180,18.67,4.87,100.0,93.32,5.02
26542,2.66,24.09,15.5,38864,6.73,307,8.75,3.22,86.82,96.25,0.0
27973,2.91,33.1,3.94,46085,2.7,140,8.6,7.39,100.0,94.15,0.0
139426,2.54,26.51,12.83,34985,13.35,145,12.82,4.62,100.0,94.31,0.0
36955,4.1,35.04,5.66,33997,14.02,287,10.37,26.78,100.0,97.14,0.0
60569,2.14,21.09,19.52,60046,3.81,286,11.39,2.35,100.0,94.59,0.0
37060,2.52,25.13,15.05,32690,11.7,141,9.04,4.81,100.0,96.08,0.0
81177,2.48,26.27,15.14,40027,6.99,151,8.53,5.91,100.0,95.99,0.0
12361,2.68,20.29,4.05,46785,4.65,256,10.78,3.04,0.0,96.38,0.0
85351,2.93,24.98,4.99,67827,1.52,188,5.81,4.31,100.0,94.16,0.0
19212,3.26,30.76,8.03,35254,11.71,260,10.16,13.42,0.0,94.76,0.0
13296,2.72,24.41,15.79,51305,3.77,211,6.68,4.89,100.0,97.24,0.0
28227,2.52,33.02,11.59,37427,12.47,313,12.17,4.5,100.0,85.5,7.69
84985,2.38,29.11,14.92,44184,6.82,301,8.95,5.58,100.0,94.56,0.0
47409,2.72,30.19,2.0,51023,2.83,148,9.36,3.21,100.0,94.46,0.0
38736,3.09,25.12,2.33,52473,2.32,138,7.22,3.89,100.0,96.63,0.0
41643,2.84,34.13,11.19,31404,16.38,181,11.65,6.56,100.0,93.54,0.0
89235,2.73,25.69,7.05,43771,6.28,204,11.9,3.97,100.0,94.8,6.09
10241,2.32,24.1,15.8,32703,6.46,108,11.23,3.08,0.0,96.69,0.0
27437,2.59,28.92,10.47,27796,18.56,126,16.73,6.74,100.0,95.62,0.0
72644,2.45,27.25,14.64,33679,10.59,197,11.47,4.17,100.0,93.98,11.03
304011,2.47,27.54,11.11,34610,12.47,158,13.58,4.7,100.0,91.25,3.07
13812,2.83,23.61,10.35,64760,2.06,342,7.02,4.13,76.32,96.38,0.0
34507,2.47,25.95,14.0,27456,14.11,127,13.45,3.49,0.0,94.76,0.0
21460,3.19,30.84,8.77,31144,15.73,276,10.96,12.25,0.0,86.66,0.0
159936,2.4,29.8,12.73,29697,16.4,135,13.83,8.26,99.92,90.37,6.8
40153,2.97,27.89,5.35,42883,4.68,144,10.1,4.11,100.0,94.97,0.0
16512,2.84,30.69,12.95,22196,31.51,176,13.56,7.59,0.0,91.96,0.0
33497,2.66,25.8,15.76,21013,29.7,144,14.46,7.53,99.12,91.3,0.0
27310,2.32,20.93,17.41,42345,9.47,178,12.07,2.31,0.0,92.67,0.0
13092,2.06,26.23,18.21,37828,6.25,116,14.64,1.52,100.0,94.29,0.0
59718,2.21,28.23,11.81,37365,8.5,131,13.07,5.24,100.0,94.66,0.0
76836,2.87,28.68,12.71,37198,12.97,165,10.56,8.55,100.0,92.2,0.0
16922,1.86,9.38,48.35,33024,5.79,236,8.84,1.05,100.0,72.94,0.0
16200,2.48,24.38,15.7,28372,18.53,114,12.99,2.88,0.0,91.41,0.0
11938,2.26,25.86,16.98,31923,13.69,146,13.21,3.01,0.0,94.54,0.0
26778,2.48,25.87,14.72,22055,25.86,134,15.49,5.53,0.0,91.92,0.0
22754,2.71,25.82,12.46,30513,17.84,173,13.4,6.52,0.0,89.79,0.0
16367,2.81,21.98,6.76,49811,3.92,189,9.89,3.55,100.0,97.8,0.0
51288,2.68,31.33,3.49,50275,4.2,150,9.83,2.99,100.0,94.48,0.0
